Age,Gender,Education,Live with,Conflict with law,Most used drugs,Motive about drug,motivation by friends,Spend most time,Mental/emotional problem,Suicidal thoughts,Family relationship,Financials of family,Addicted person in family,no. of friends,Withdrawal symptoms,Satisfied with workplace,Case in court,Living with drug user,Smoking,Easy to control use of drug,Frequency of drug usage,Taken drug while experiencing stress
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,Others,Should avoid,"No, they don't",Friends,Depression/ inferiority/Guilt,Yes,Satisfactory,Solvent,No,Many (more than 5),Yes,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,"Social trend, Should avoid","No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"Yes, often they do",Friends,Depression/ inferiority/Guilt,No,Satisfactory,Solvent,No,Many (more than 5),I have no idea,Yes,No,Yes,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,H.S.C / A levels,With Family/Relatives,Yes,Others,"Social trend, Should avoid","No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Solvent,Yes,Many (more than 5),No,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",No,Satisfactory,Medium,No,Many (more than 5),Yes,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Disease,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Social trend,"No, they don't",Family/ Relatives,None,No,Satisfactory,Solvent,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Others,Should avoid,"No, they don't",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety",No,Average,Solvent,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger, Others",No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,"Cigarette,Alcohol,others",Should avoid,"Yes, often they do",Alone,None,Yes,Satisfactory,Rich / Strong,No,None,No,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Social trend,"No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, every day.","Yes, It's possible",Occasionally,No
15 to 22 years,Male,Undergraduate,Hostel/Hall,Yes,Weed,Social trend,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Communcaiton gap,Medium,No,Few (1-4),No,No,No,No,"No, I don't","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Alone,Depression/ inferiority/Guilt,Yes,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,Yes,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Anger,No,Satisfactory,Solvent,No,Many (more than 5),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Anger",No,Satisfactory,Solvent,No,Many (more than 5),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,With Family/Relatives,Yes,Others,"Social trend, Should avoid","Yes, often they do",Friends,"Tension/Anxiety, Others",No,Average,Solvent,No,Many (more than 5),Yes,No,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
15 to 22 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Depression/ inferiority/Guilt,No,Satisfactory,Rich / Strong,No,Many (more than 5),No,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"Yes, often they do",Friends,Depression/ inferiority/Guilt,Yes,Average,Medium,No,Many (more than 5),I have no idea,Yes,No,Yes,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,Heroin,Should avoid,"No, they don't",Friends,Depression/ inferiority/Guilt,No,Satisfactory,Solvent,No,Many (more than 5),No,Yes,No,No,"No, I don't","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,Others,Should avoid,"No, they don't",Alone,"Depression/ inferiority/Guilt, Anger",Yes,Average,Solvent,No,Many (more than 5),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,Yes
15 to 22 years,Female,Undergraduate,With Family/Relatives,No,I don't take drugs,Social trend,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",No,Communcaiton gap,Solvent,No,Many (more than 5),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Tension/Anxiety",Yes,Satisfactory,Rich / Strong,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Alone,None,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Satisfactory,Medium,Not sure,Many (more than 5),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,Depression/ inferiority/Guilt,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,No,No,Yes,"No, I don't","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,"Heroin,Yaba,others","Disease, Social trend, Should avoid","Yes, often they do",Friends,Depression/ inferiority/Guilt,No,Average,Solvent,No,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
15 to 22 years,Male,S.S.C /O levels,With Family/Relatives,Yes,Cocaine,Social trend,"Yes, often they do",Friends,Tension/Anxiety,Yes,Communcaiton gap,Poor / weak,Yes,Many (more than 5),I have no idea,No,No,Yes,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 35 to 48,Male,S.S.C /O levels,With Family/Relatives,Yes,"Phensedyl,Cigarette","Disease, Should avoid","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",Yes,Communcaiton gap,Poor / weak,No,Few (1-4),Yes,No,Yes,Yes,"Yes, every day.","No, It's not possible",Regularly,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,"Cigarette,Cocaine,Weed,Alcohol","Social trend, Should avoid","No, they don't",Friends,Depression/ inferiority/Guilt,No,Satisfactory,Solvent,Not sure,Few (1-4),I have no idea,No,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Alcohol,"Social trend, Should avoid","No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),No,No,No,Yes,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Phensedyl,Social trend,"Yes, often they do",Friends,Anger,No,Satisfactory,Rich / Strong,Not sure,Many (more than 5),I have no idea,No,No,No,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,"Yaba,Cigarette,Weed,Others",Social trend,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",Yes,Average,Rich / Strong,No,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
15 to 22 years,Male,Undergraduate,Hostel/Hall,Yes,"Alcohol,Heroin,others",Social trend,"Yes, often they do",Friends,Depression/ inferiority/Guilt,No,Satisfactory,Solvent,No,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 35 to 48,Male,Postgraduate (MSc/PhD),With Family/Relatives,Yes,"Cocaine,Cigarette",Social trend,"Yes, often they do",Friends,Tension/Anxiety,No,Satisfactory,Rich / Strong,Yes,Few (1-4),I have no idea,No,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
15 to 22 years,Male,Undergraduate,With Family/Relatives,Yes,Weed,"Social trend, Should avoid","No, they don't",Friends,Depression/ inferiority/Guilt,Yes,Average,Solvent,Not sure,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,"Social trend, Should avoid","Yes, often they do",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,Yes,No,Yes,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 35 to 48,Male,Postgraduate (MSc/PhD),With Family/Relatives,Yes,"Weed,Yaba,others",Social trend,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",Yes,Average,Solvent,Not sure,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,"Phensedyl,Heroin,Cigarette",Disease,"No, they don't",Friends,Depression/ inferiority/Guilt,No,Average,Solvent,No,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
15 to 22 years,Male,H.S.C / A levels,With Family/Relatives,Yes,"Alcohol,Heroin,others",Social trend,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Average,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Female,Undergraduate,With Family/Relatives,Yes,"Cocaine,Weed",Should avoid,"Yes, often they do",Friends,"Tension/Anxiety, Anger",No,Average,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Female,Undergraduate,Hostel/Hall,Yes,"Heroin,Yaba,Cigarette,others",Social trend,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Average,Medium,No,Many (more than 5),I have no idea,No,No,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 35 to 48,Male,H.S.C / A levels,With Family/Relatives,Yes,Cocaine,Social trend,"No, they don't",Alone,"Tension/Anxiety, Anger",No,Average,Poor / weak,No,Few (1-4),I have no idea,No,No,Yes,"Yes, every day.","No, It's not possible",Regularly,Yes
15 to 22 years,Male,H.S.C / A levels,Hostel/Hall,Yes,"Yaba,Phensedyl","Disease, Social trend, Should avoid","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Others",No,Communcaiton gap,Medium,No,Many (more than 5),I have no idea,No,No,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
